"id","vac_user_id","title","slug","views","type","body","published","created_at"
"1","2","rwerrww","qewwe","0","Vaccine","asvvasvvavsav","1","2021-06-08 20:58:22"
"3","1","asdffa","fasdf","0","Vaccine","sdvvvvsdvas","1","2021-06-08 23:30:52"
"4","5","cccc","cccc","0","Covid","scvvssv","1","2021-06-09 00:14:53"
"5","1","qwqw","qwwwq","0","Covid","vwfvav","1","2021-06-09 17:08:43"
"6","1","qwqwf","qwwwqfsd","0","Vaccine","vwfvavfds","1","2021-06-09 17:10:07"
"7","1","ad","adda","0","Vaccine","dddddd","1","2021-06-09 18:02:23"
"id","vac_user_id","image"
"id","nameOfUser","surnameOfUser","usernameOfUser","emailOfUser","passwordOfUser","dateOfBirth"
"1","agg","mar","aggmar","juniormarg99@gmail.com","0","2021-07-01"
"2","qwe","rw","rew","dewd@gmail.com","12","2021-06-13"
"3","qwe","rw","rew","dewfwdfww@gmail.com","12","2021-06-13"
"4","qwe","rw","rew","dewffwewdfww@gmail.com","0","2021-06-13"
"5","sdff","fsff","qqq","aa@gmail.com","11","2021-06-03"
"6","sdff","fsff","qqq","a@gmail.com","0","2021-06-03"
"8",,,,,"0","2021-06-03"
"9","adf","afff","afafa","sqsq@gmail.com","q1","2021-06-23"
"vac_id","name","lastname","username","email","password","vac_password","birthday"
"1","asdv","sdv","asdv","juniormarg99@gmail.com","12","23",NULL
"2","Aggelos","Margkas","roulismar","juniormarg99@gmail.com","1212","0","0000-00-00"
"3","12","Marg","43244teg","juniormarg99@gmail.com","0","3","0000-00-00"
"4","giannos","chara","john","captain@gmail.com","33","233","2021-06-24"
"5","qdq","dqd","qdqq","defweww@gmail.com","123","1234","2021-06-06"
"6",,,,,"0","0","0000-00-00"
"7","eqwe","qweqw","q1","qqq","0","0","2021-06-06"
"8","eqwe","qweqw","q1","qqqq","q1","qww","2021-06-06"
"9","eqwe","qweqw","q1","qqqqweq","q1","qwwqqq","2021-06-06"
